Region,Name,Service_Offering,Business_Function,Insurance_Portfolio,Value_to_User,DXC_Stack,Success,Category,Relationship_Stage,Commercials,Co-innovation_Level,logo,website,revenue_opportunity,revenue_realized,,tags,,Relationship_Owner,NDA_Start,NDA_Finish,Contracts _Start,Contracts_Finish
India,eMudhra,"We provide  major products  such as : emSigner an electronic signature platform with Enterprise Workflows, Templates, API’s, COllborative editing and building of new documents  and inbuilt OCR with Meta Data tags and advanced search for a complete Paperless environment., emStream which is an AI engine with its inbuilt NLP for Sentiment analytics for understanding customer, vendors, employees, partners related data and an inbuilt Machine learning with complex algorithms for predictive analytics","Security, Risk & Compliance","L&W, P&C, Reinsurance, Specialty commercial, Brokering",,,,,"Identified, NDA Executed, Commercials complete, Marketplace content, Integration complete",Referral,"API Integration, Service Provider",eMudhra.png,www.emudhra.com,,,,"esignature, digitalsignature, emsigner",,S.Ponnuswamy,7/11/19,7/17/19,8/20/19,10/10/19
NCEE,EntServ,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J. Stern,11/27/19,12/4/19,,
Americas,FastTrack,,,,,,,,"Identified, NDA Executed",,,,,,,,,,S. Krishnamachary,11/18/19,11/19/19,,
Americas,Fenris Digital,"Lead scoring for automated insights in quoting process, conversion","Business Acquisition, L&W - Underwriting, P&C - Underwriting, L&W - Policy Changes","L&W, P&C",,,,,"Identified, NDA Executed, Integration complete, Commercials in-progess, APIs published",,"Storyboard, API Integration, Solution Development",fenris.png,https://fenrisd.com/,,,,,,S.Ponnuswamy,11/18/19,11/19/19,4/3/20,
Americas,Fitbit,D&O risk and telematics,L&W - Underwriting,L&W,,,,,Identified,,,fitbit.png,https://www.fitbit.com/,,,,,,,,,,
Americas,Franco Signor,"Solving The MSP Compliance Puzzle With Franco Signor

Franco Signor delivers innovative Medicare Secondary Payer (MSP) compliance solutions based on unparalleled expertise and decades of industry experience. We are the fastest growing MSP compliance firm in the U.S., leading the industry in the development of new products and services.

Our proprietary processes deliver best in class service to our clients with measurably superior results. Franco Signor’s technology-driven products and services, like our Compliance 360° program, have revolutionized MSP compliance—and we’re not slowing down.

Why choose Franco Signor?

Experience. Founded by recognized MSP visionaries.
Technology. Our solutions put your Medicare data to work.
Partnership. We understand your unique compliance needs.
Engagement. Unparalleled legislative and regulatory involvement.
Comprehensive. True MSP compliance goes beyond Medicare Set Asides.
Compliance 360 Completes the MSP PUzzle

CMS has all the pieces for every Medicare claim. Franco Signor thinks you should, too.

Our Compliance 360° Program has simplified every step of the Medicare Secondary Payer (MSP) compliance process for the client and front-line adjuster. We’ve combined Medicare Reporting, Conditional Payments and Medicare Set Asides (MSAs) into one comprehensive compliance solution. Our program provides our clients with the completed compliance puzzle.

Conditional Payments, MSAs, and Medicare Reporting programs all developed independently and with little coordination between them, resulting in silos of information. CMS compiles information from each silo, assembling these pieces for every claim.

The Compliance 360° Program duplicates CMS integration with Franco Signor’s proprietary technology platform. We’ve cut out the manual processes and replaced them with triggers and alerts that can be easily updated based on changing CMS policy. That means our clients can settle and close claims efficiently and with confidence.",,,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content",,,francosignor.png,https://francosignor.com/,,,,,,J. Benson,1/29/20,1/30/20,2/14/20,
NCEE,FundShop,,,,,,,,"Identified, NDA Executed",,,fundshop.jpg,https://www.gofundshop.com/,,,,,,J. Moufle,2/20/19,7/31/19,,
Americas,Geomni,UAV imagery & data for claims and underwriting,P&C - Underwriting,P&C,,,,,"Identified, NDA Executed",,,geomni.png,https://www.geomni.com/,,,,,,F. Saddiqi,12/4/18,12/18/18,,
NCEE,Guardsquare,,,,,,,,Identified,,,,,,,,,,J. Stern,10/28/19,,,
ANZ,Guroos,"Data driven customer engagement and messaging for claims, applications, disputes, policies with video",CRM,,,,,,"Identified, NDA Executed, APIs published",,"Storyboard, API Integration",guroos.png,http://www.guroos.tech/,,,,,,C. Neumann,10/14/19,10/17/19,,
Americas,HazardHub,"HazardHub is your insurance policy against property risk.

Air. Fire. Water. Earth. Man-Made. HazardHub is the only third-generation provider of property-level hazard risk databases spanning the most dangerous perils in the continental United States. HazardHub translates huge amounts of geospatial digital data into easy to understand answers, providing easy to comprehend risk scorecards that are used to make real-world decisions. Our team of scientists provides comprehensive, and innovative, national coverage for risks that destroy and damage property. With more than 10,000,000 results returned to the market, HazardHub is fast-becoming the industry's go-to vendor for property and risk data.

Over 900 variables delivered through our API for $1",P&C - Underwriting,P&C,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content, APIs published",MSA,API Integration,hazardhub.png,https://hazardhub.com/,,,,,,S.Ponnuswamy,1/22/19,1/23/19,2/1/19,4/1/19
India,HeraldLogic,"Herald Logic Pvt Ltd’s modular Distribution Management Solutions help organizations grow their business profitably by achieving bottom-line efficiencies as well as top-line growth through a granular sales reward strategy that drives right sales behaviours on an ongoing basis. 
The HL DMS covers Lifecycle management, Compensation management and Performance management modules.
What are the USPs of the Herald Logic DMS solution?
Herald Logic’s USP is a combination of 4 elements – 
i.	its proprietary configuration-based platform that helps organizations to granularize their variable sales compensation programs across a very wide array of business performance metrics, and continually optimize it such that they are aligned with the various macro & micro business objectives, on an ongoing basis.
ii.	its unique ‘managed service’ delivery model covering Platform, Infrastructure (Cloud), Processing and Reporting, which offers a fully-hedged commercial construct to organizations, protecting them from the tyranny of change request costs.
iii.	its ‘pay as you scale’ monthly subscription-based opex model which enables organizations to take up large transformation/automation projects in the sales compensation domain at minimal upfront costs, calibrated in synch with the business trajectory.
iv.	its ‘outcome-focussed’ engagement model as opposed to the traditional product-sell model.",Marketing & Distribution,,,,,,"Identified, NDA Executed, Marketplace content, APIs published",,Storyboard,heraldlogic.gif,www.heraldlogic.com,,,,,,S.Ponnuswamy,7/11/19,8/5/19,,
Americas,Hi Marley,Collaboration tool,,,,,,,"Identified, NDA Executed",,,himarley.png,https://www.himarley.com/,,,,,,J. Benson,5/7/20,5/14/20,,
Americas,HumanAPI,Platform that allows sharing of healthdata with anyone,Actuarial,,,,,,,,API Integration,humanapi.png,https://www.humanapi.co/,,,,,,,,,,
Americas,HyperScience,Intelligent document processing,"Claims Management, Agent / Broker Management",Cross Industry,,Analytics and AI,1-Early Stage,Component,"Identified, NDA Executed",,Component Dev,hyperscience.png,https://www.hyperscience.com/,,,,,,R Kumar,1/30/19,1/31/19,,
Americas,IamYiam,,,,,,,,"Identified, NDA Executed",,,iamyiam.png,https://syd.iamyiam.com/en/,,,,,,R Kumar,3/10/20,3/18/20,,
NCEE,IDEE,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J. Stern,9/17/19,9/18/19,,
Americas,Imburse,Payments,,,,,,,Identified,,,imburse.png,https://www.imbursepayments.com/,,,,,,F. Saddiqi,,,,
Americas,InfoSlips,"Policy, Claims, Risk Interactive documents",CRM,,,,,,Identified,,,infoslips.png,https://www.infoslips.com/,,,,,,,,,,
NCEE,Kinexon,,,,,,,,"Identified, NDA Executed",,,,,,,,,,F. Gross,7/8/19,8/28/19,,
Americas,Lenderdock,"LenderDock Inc. is the leading provider of online (P&C) insurance policy verification and automated lienholder management services.

The LenderDock SaaS platform offers banks, lenders, and all financial third parties the ability to electronically verify policy information and correct lienholder information in real-time. The dynamic SaaS platform offers a performant API or a simple web services integration into any third-party system, so that policy verifications or corrections can be made with just a few clicks. By eliminating outdated manual business processes, the result is significant cost savings, enhanced operational efficiencies and an optimal use of internal resources.

LenderDock's cloud-based platform has set a new standard in (P&C) insurance policy verification and lienholder data management. It provides banks and other financial institutions the ability to digitally self-serve the policy information they need to verify or update all in real-time.

Once implemented, Insurance companies can get started on LenderDock by simply redirecting any and all 3rd party policy requests they get via phone, email, fax, or snail mail to our platform, where they’ll be free to:

Access and Verify policy data on-demand
Correct and update policy data individually or in bulk
Electronically request documents like an Evidence of Insurance in real-time
Facilitate and manage lien holder and escrow billing notifications
Manage escrow payments reconciliation and remittance
For more information, please contact your DXC representative or visit us at www.lenderdock.com.",,,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content",Referral,,lenderdock.png,http://lenderdock.com/,,,,,,F. Saddiqi,11/20/19,11/21/19,1/29/20,2/10/20
Americas,Lightico,,,,,,,,Identified,,,lightico.png,https://www.lightico.com/,,,,,,TBD,,,,
NCEE,Litmus,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J Friedrich,3/13/20,3/18/20,4/29/20,
Americas,LSQ,"LSQ’s RapidPay offering for DXC's Legal Solutions Suite™

During this time of economic uncertainty it is more important than ever for law departments and their law firms to have access to flexible working capital and predictable cash flow. That’s why we created DXC RapidPay, powered by LSQ, which is an innovative approach to financial and legal vendor management that helps law firms get paid quickly while providing extended payment terms and rebates on invoices to DXC clients. DXC RapidPay is free for DXC clients to use and fully integrates with DXC’s Legal Solutions Suite™ platform.

Here’s how it works: our financial partner, LSQ assumes the payables DXC clients owe to law firms and in exchange, offers accelerated payment on eligible invoices. LSQ will pay the law firm at invoice approval, and the DXC client pays LSQ at current or agreed-upon terms.

DXC RapidPay is a win-win approach towards solving the working capital challenges law firms and corporate legal departments face. It’s easy to set up, free for DXC clients to use and requires no changes to existing payment processes through our lightweight integration with LSS. DXC RapidPay allows corporate legal departments to:

Earn cashback on all invoices processed through DXC RapidPay
Maintain or extend law firm payment terms while providing an early payment option.
Improve cash flow and financing costs for you and your law firms.
Unlock and optimize working capital
Strengthen relationships with law firms by providing them payment on-demand.
Interested in learning more about DXC RapidPay? Contact fasttrack@lsq.com or your DXC representative for more information.",P&C - Claims Mgmt,,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content, Integration complete",Referral,API Integration,lsq.png,https://www.lsq.com/,"$400,000",,,,,J. Benson,2/6/18,3/1/18,4/9/18,
Americas,LTI,,,,,,,,"Identified, NDA Executed",,,,,,,,,,G. Herbkersman,11/19/19,12/12/19,,
Americas,Mapcite,"Mapcite Business is Location Intelligence software, satisfying multiple use cases including data visualisation, mobile data capture and spatial analytics. It is accessed through a standard web browser or Restful API and is delivered on a SaaS basis. 
Using Mapcite Business could provide the following benefits: 
•	An ability to explore your data spatially without specialist help 
•	A better understanding of your data from a spatial perspective 
•	Enabling more informed decision making 
•	The creation of new data through spatial analytics 
•	Capturing location-based reports in near real time (including geofencing)
Mapcite can supply additional datasets to augment your own data. This could include data from our partners, ranging from spatial data from Ordnance Survey and TomTom to spend data from Mastercard. We can also identify and reformat publicly available data to support your use cases, through our support services. ",Underwriting,,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content, APIs published",MSA,"API Integration, Storyboard",mapcite.png,www.mapcite.com,,,,,,S.Ponnuswamy,4/11/19,,4/18/19,3/24/20
Americas,Melissa,Global address verification and geolocation services,"P&C - Submission, L&W - Submission, P&C - Claims Mgmt, P&C - Policy Changes",,,,,,"Identified, NDA Executed, Commercials complete, Integration complete",Referral,,melissa.png,https://www.melissa.com/,,,,,,R. Bhatia,,,,12/12/18
Americas,MCG,,P&C - Claims Mgmt,,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content",Resell,,,,,,,,,J. Benson,4/23/20,5/11/20,8/27/19,9/25/19
Americas,Modus,"Commercial fleet management, monitoring, claims, telematics","Finance, HR & Legal",,,,,Service Provider,"Identified, NDA Executed, Commercials complete",MSA,,modus.png,https://mod.us/,,"$80,000",,,,J.Benson,12/17/18,12/18/18,3/15/19,5/15/19
Americas,Montoux,,,,,,,,"Identified, NDA Executed",,,montoux.png,https://www.montoux.com/,,,,,,R. Kumar,4/6/20,4/13/20,,
NCEE,MunichRe-InsureTech,,,,,,,,Identified,,,,,,,,,,J. Moufle,,,,
NCEE,MySaveID,,"Finance, HR & Legal",,,,,,Identified,,,,,,,,,,J. Stern,11/27/19,,,
Americas,NodeDigital,Cognitive AI/ML services and platform provider,,,,,,,Identified,,,,,,,,,,,,,,
Americas,nuCypher,,,,,,,,Identified,,,nucypher.png,https://www.nucypher.com/,,,,,,T. Gehrke,7/16/19,,,
Americas,Ocean protocol,Decentralized secure data sharing for data marketplaces,"Analytics, AL, ML",,,,,,Identified,,,oceanprotocol.png,https://oceanprotocol.com/,,,,,,T. Gehrke,7/16/19,,,
Americas,PayPal,Secure payments,"Finance, HR & Legal",,,,,,Identified,,API Integration,paypal.png,https://www.paypal.com/,,,,,,,,,,
NCEE,Pendo,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J. Stern,7/23/19,7/23/19,,
ANZ,Perx,,,,,,,,"Identified, NDA Executed",,,,,,,,,,C. Neumann,9/13/19,10/9/19,,
Americas,Premonition,Claims Litigation predictive analytics,P&C - Claims Mgmt,,,,,,"Identified, NDA Executed, Commercials complete, Integration complete, Marketplace content",MSA,API Integration,premonition.png,https://premonition.ai/,"$50,000","$40,000",,,,J.Benson,,,,8/24/18
NCEE,Privitar,,,,,,,,"Identified, NDA Executed",,,privitar.png,https://www.privitar.com/,,,,,,S Seet,2/24/20,2/25/20,,
Americas,ProcessGold,AI & ML assisted process mining and optimization,Policy Administration,,,,,,"Identified, NDA Executed",,,processgold.png,https://processgold.com/,,,,,,M. Sperandeo,1/22/19,1/23/19,1/30/19,
NCEE,R3,,,,,,,,"Identified, NDA Executed",,,r3.png,https://www.r3.com/,,,,,,A. Welfare,6/20/19,6/24/19,,
NCEE,Rita,Reinsurance accounting,Re-insurance,,,,,,"Identified, NDA Executed",,API Integration,rita.png,https://www.ritablock.com/?lang=en,,,,,,B. Evenshaug,6/5/19,6/7/19,,
Americas,SiSense,,"P&C - Claims Prevention, P&C - Claims Mgmt",,,,,,,,,sisense.png,https://www.sisense.com/,,,,,,,,,,
Americas,Scope Technologies,"Measurements of property roof, siding, gutter",P&C - FNOL,,,,,,"Identified, NDA Executed, Commercials complete",Resell,API Integration,scope.png,https://myscopetech.com/,,"$75,000",,,,M. Banerjee,,,,5/31/18
,ServiceProcess,,,,,,,,Identified,,,,,,,,,,,,,,
Americas,SmartPerks,Looks like benefits administration,CRM,,,,,,Identified,,,,,,,,,,,,,,
Australia,SpringDay,Healthyliving technology platform for corporates,"Security, Risk & Compliance",,,,,,Identified,,,springday.png,https://myspringday.com.au/,,,,,,,,,,
NCEE,Squirro,augmented intelligence platform for complex data insights,,,,,,,"Identified, NDA Executed, Commercials complete",Referral,,squirro.png,https://squirro.com/,,,,,,J. Stern,7/17/19,8/15/19,8/20/19,3/18/20
India,Stezy,,,,,,,,Identified,,,,,,,,,,G Rao,7/31/19,,,
,Sturdy,,,,,,,,Identified,,,,,,,,,,,,,,
Americas,SubroPro,Subrogation automation and analytics,Claims Management,,,,,,Identified,,,,,,,,,,J.Benson,,,,
Americas,Sureify,Life events based lifecycle platform for life insurance,Product Development,,,,,,"Identified, NDA Executed",,,,,,,,,,"C, Neumann",10/11/19,10/14/19,,
Americas,Surfly,"**Surfly for DXC Assure Digital Insurance **

Surfly provides a simple, fast and secure universal co-browsing solution with video chat capabilities that help over 100,000 agents/advisors in more than 30 countries and across some leading insurance brands to improve customer experience. Surfly was built to help people to effortlessly connect and work together to instantly understand problems and explain solutions in a personalized, easy-to-understand and visual way with below use cases.

DXC Technology improves its customer-facing web applications with Surfly enabled superior user experience for DXC Assure Digital Insurance Partners (consumers, agents, advisors, underwriters, claims professionals and CSRs).

With Surfly, DXC Assure Partners are offered collaborative, visually engaging and stimulating experiences that not just build increased expectations but also trustful relationships, improved efficiency (both operational and claims) and increased sales figures.

DXC Assure Digital Insurance uses Surfly for:

Support Teams

Addressing customers’ needs over the phone or chat can often be tricky in the light of lurking misinterpretations, especially when trying to guide them through, say, our website. Hence, the pressing need to create a bond of trust between agents to bridge gaps with customers was felt. Surfly solutioned this need by creating an in-person experience with customers by connecting with them seamlessly. Just launching a Surfly session enables the support team agent to instantly see the customer issues or illustrate a concept without a hitch. Quick and simple!

Sales Teams

Technology enabled quality sales presentations to ensure increased sales revenue over the foundation of ever stronger relationships is a universal need in today’s dynamic and competitive business environment. This necessitates connecting with prospects one-on-one for delivering quality sales pitches. Surfly addresses this by offering a full featured co-browsing solution to facilitate working remotely and collaborating with prospects, thus, equipping sales teams with tools for every sales scenario. Closing of sale has never been so easy.

Advisors

Very often, keeping customers satisfied and explaining product offerings to prospects can be tricky. The conventional modes of communication – emails and telephones for contacting customers and prospects, often fall short in their ability to accord them with an out-of-the-box and timely response or personalized experience. Co-browsing with Surfly helps transforms the advisors’ interactions with customers by remotely addressing customers’ needs quickly and effectively thereby shortening the sales cycle by 50 percent or more.

How to setup

Surfly works on any website without configuration or changes needed to the website itself. With our API, integrating co-browsing in your own application is as simple as loading an URL in a certain iframe. Surfly take care of the complexities so you don't have to. https://docs.surfly.com/index.html","Claims Management, Policy Administration",,,,,,"Identified, NDA Executed, Commercials complete, Marketplace content, APIs published","MSA, Resell",API Integration,surfly.png,https://www.surfly.com/,,,,,,P Karecki,1/22/19,1/24/19,2/8/19,3/24/20
Americas,Syncier,,,,,,,,Identified,,,,,,,,,,,,,,
NCEE,Tamr,,,,,,,,"Identified, NDA Executed",,,,,,,,,,S Seet,4/1/20,4/1/20,,
NCEE,targens GmbH,,,,,,,,"Identified, NDA Executed",,,,,,,,,,L Fischkandl,2/11/20,2/12/20,,
Americas,Tomorrow,Consumer focus life insurance and estate planner,"Marketing, Distribution / Issuance",,,,,,Identified,,,,,,,,,,,,,,
Americas,Tractable,,,,,,,,Identified,,,,,,,,,,S Kumaragurubaran,12/19/19,,,
Americas,Unqork,,,,,,,,"Identified, NDA Executed",,,,,,,,,,C. Kolli,1/21/20,1/27/20,,
EMEA,UneeQ,,,,,,,,Identified,,,,,,,,,,K. Chan,,,,
Americas,Verisk,,,,,,,,"Identified, NDA Executed",,,,,,,,,,J. Benson,1/30/20,4/29/20,,
